lat,lon,alt,date,device,os,version
40.6950645447,-73.9467315674,25.0919361115,2015-04-08 03:01:20,"iPhone6,1",8.1.3,1.1
40.706577301,-73.9625091553,24.1988449097,2015-04-08 14:49:36,"iPhone6,1",8.1.3,1.1
40.7307548523,-73.9928283691,15.0977220535,2015-04-08 14:56:00,"iPhone6,1",8.1.3,1.1
40.7315330505,-73.9989929199,10.8688955307,2015-04-09 03:01:20,"iPhone6,1",8.1.3,1.1
40.6878852844,-73.9680404663,34.3546142578,2015-04-09 03:37:36,"iPhone6,1",8.1.3,1.1
40.6934280396,-73.9666900635,33,2015-04-09 13:26:24,"iPhone6,1",8.1.3,1.1
40.6954536438,-73.9484786987,30.1896572113,2015-04-09 13:37:04,"iPhone6,1",8.1.3,1.1
40.7067527771,-73.9661865234,27.5603485107,2015-04-09 15:04:32,"iPhone6,1",8.1.3,1.1
40.732925415,-73.9980316162,11.8811855316,2015-04-09 15:08:48,"iPhone6,1",8.1.3,1.1
40.7294387817,-73.9933853149,13.482460022,2015-04-09 15:21:36,"iPhone6,1",8.1.3,1.1
40.7228546143,-73.993019104,14.6656541824,2015-04-10 03:24:48,"iPhone6,1",8.1.3,1.1
40.7051811218,-73.9818115234,13.6583156586,2015-04-10 03:37:36,"iPhone6,1",8.1.3,1.1
40.7169799805,-73.9493713379,19,2015-04-10 03:44:00,"iPhone6,1",8.1.3,1.1
40.7116928101,-73.9436950684,19,2015-04-10 06:49:36,"iPhone6,1",8.1.3,1.1
40.7015953064,-73.9430770874,19,2015-04-10 07:40:48,"iPhone6,1",8.1.3,1.1
40.6949958801,-73.946762085,26.4513988495,2015-04-10 08:02:08,"iPhone6,1",8.1.3,1.1
40.7156867981,-73.9971466064,28,2015-04-10 18:59:12,"iPhone6,1",8.1.3,1.1
40.7328872681,-73.9980545044,9.78291606903,2015-04-10 19:05:36,"iPhone6,1",8.1.3,1.1
40.7294387817,-73.9934768677,15.9121255875,2015-04-10 19:16:16,"iPhone6,1",8.1.3,1.1
40.7289657593,-73.9848327637,14.1044635773,2015-04-10 23:15:12,"iPhone6,1",8.1.3,1.1
40.7299575806,-73.9920120239,14.9600687027,2015-04-10 23:40:48,"iPhone6,1",8.1.3,1.1
40.6953544617,-73.9496917725,29.0769271851,2015-04-11 01:08:16,"iPhone6,1",8.1.3,1.1
40.6933517456,-73.9671173096,28.6141319275,2015-04-11 13:22:08,"iPhone6,1",8.1.3,1.1
40.6944732666,-73.986114502,32.3930854797,2015-04-11 13:34:56,"iPhone6,1",8.1.3,1.1
